scenario,algo_name,E1,E2
baseline_burst,pid,4.009453344894192,1.3908694963342914
baseline_burst,pid_deadzone,3.4065432229584687,1.1048191330252373
baseline_burst,event_pid,3.5772077637018223,1.1387183816725794
baseline_burst,lif_snn,4.08978683224003,2.280467361139253
baseline_burst,trinc,3.1009983353477324,1.0043100549351778
burst_chain,pid,10.07958759186995,5.551347490036196
burst_chain,pid_deadzone,9.593437598450961,5.100294563311674
burst_chain,event_pid,9.887364961434763,5.346365730917392
burst_chain,lif_snn,10.402715053713377,7.196622283281852
burst_chain,trinc,6.590366034268105,2.626182838242276
idle_recovery,pid,7.39252510186139,3.7318825868551
idle_recovery,pid_deadzone,6.610148964037944,3.1886097747604754
idle_recovery,event_pid,6.6242627948384385,3.190868199273353
idle_recovery,lif_snn,7.883123546548191,5.378330053388186
idle_recovery,trinc,4.614838242071676,1.6942740215465273
noisy_lab,pid,3.2778281369680657,1.2243912709516036
noisy_lab,pid_deadzone,2.868030172708143,1.0952606981580477
noisy_lab,event_pid,3.13564641937863,1.128099652438987
noisy_lab,lif_snn,3.3560000950413973,2.2062205257273817
noisy_lab,trinc,2.4141034626621463,0.7784536711934829
thermal_shock,pid,5.6820992110809945,2.686326224695187
thermal_shock,pid_deadzone,4.540459089537559,1.9022260674064797
thermal_shock,event_pid,4.429788469717782,1.8327185410916464
thermal_shock,lif_snn,6.04704764580233,3.648705852564813
thermal_shock,trinc,4.026244475732206,1.5494595748533317
tracking_drill,pid,1.8470564278846127,0.30070613885941583
tracking_drill,pid_deadzone,1.5454153667365307,0.23056194884536074
tracking_drill,event_pid,1.6363268239403377,0.2499045073727158
tracking_drill,lif_snn,2.562034984783594,1.0524546014101197
tracking_drill,trinc,1.2451467746884344,0.1438476644980564
progressive_ramp,pid,9.526583448024873,5.950526111429017
progressive_ramp,pid_deadzone,9.185219090240015,5.6625478391116735
progressive_ramp,event_pid,8.964522324769609,5.568246676446719
progressive_ramp,lif_snn,10.167096047226437,7.264124466287294
progressive_ramp,trinc,5.845937572226086,2.2220568358810304
sensor_edge,pid,3.959293019938052,1.3922861152378996
sensor_edge,pid_deadzone,3.55159329209687,1.201847483200824
sensor_edge,event_pid,3.7184673881099153,1.237559951983958
sensor_edge,lif_snn,4.339411411999567,2.730341179429617
sensor_edge,trinc,3.049160513922006,0.9917611309359838
cooling_loss,pid,9.806622603729576,6.453670234796935
cooling_loss,pid_deadzone,9.312307196371306,5.865880958155152
cooling_loss,event_pid,9.536421813683408,6.136888930952311
cooling_loss,lif_snn,10.425498826128365,7.462035106884503
cooling_loss,trinc,4.9366691816427055,1.8214260969380018
thermal_resilience,pid,8.44221187913861,4.13051471096374
thermal_resilience,pid_deadzone,7.867315349936333,3.72416612243841
thermal_resilience,event_pid,8.266457864942566,3.950685178163006
thermal_resilience,lif_snn,8.764177257627008,5.5663374092036655
thermal_resilience,trinc,6.095900454128401,2.288069916097406
