algo_name,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
pid,0.08622494157268978,5.7,-0.043861821620946026,9.526583448024873,5.950526111429017,63,63
pid_deadzone,0.10438197728261167,5.7,-0.06128506104628785,9.185219090240015,5.6625478391116735,59,59
event_pid,0.12094018865403244,5.7,-0.06403319527304295,8.964522324769609,5.568246676446719,58,58
lif_snn,0.08016817202302473,5.7,-0.01602477564688479,10.167096047226437,7.264124466287294,137,137
trinc,0.5774667238493568,5.7,-0.5119916212143379,5.845937572226086,2.2220568358810304,38,166
