time,temperature,T_ref,control,error,gP,gH,gS
0.0,0.5,0.55,0.0,-0.050000000000000044,-1.0,0.0,-1.0
0.1,0.5405088797938323,0.55,0.0,-0.009491120206167714,0.0,0.0,0.0
0.2,0.5753304666533929,0.55,0.0,0.02533046665339289,0.0,0.0,0.0
0.30000000000000004,0.6141022715550345,0.55,0.0,0.06410227155503445,0.0,0.0,0.0
0.4,0.6518621186115356,0.55,0.0,0.1018621186115356,0.0,0.0,0.0
0.5,0.67940616609505,0.55,0.0,0.12940616609504996,0.0,0.0,0.0
0.6000000000000001,0.7077726930927251,0.55,0.0,0.157772693092725,0.0,0.0,0.0
0.7000000000000001,0.7392716264537855,0.55,0.0,0.18927162645378548,0.0,0.0,0.0
0.8,0.7681528222573654,0.55,0.0,0.21815282225736532,0.0,0.0,0.0
0.9,0.7967536850853817,0.55,0.0,0.24675368508538165,0.0,0.0,0.0
1.0,0.8216786028640317,0.55,0.465,0.27167860286403167,1.0,1.0,0.0
1.1,0.8280113639908333,0.55,0.39990000000000003,0.27801136399083326,0.0,0.0,0.0
1.2000000000000002,0.8369689831903844,0.55,0.343914,0.28696898319038433,0.0,0.0,0.0
1.3,0.8461675362389344,0.55,0.29576604,0.2961675362389343,0.0,0.0,0.0
1.4000000000000001,0.8605322561360081,0.55,0.2543587944,0.3105322561360081,0.0,0.0,0.0
1.5,0.8743593710285207,0.55,0.218748563184,0.32435937102852064,0.0,0.0,0.0
1.6,0.8853857158823225,0.55,0.18812376433824,0.33538571588232247,0.0,0.0,0.0
1.7000000000000002,0.9011459769576187,0.55,0.16178643733088638,0.3511459769576186,0.0,0.0,0.0
1.8,0.9135699618037528,0.55,0.13913633610456227,0.3635699618037528,0.0,0.0,0.0
1.9000000000000001,0.9321081513029524,0.55,0.11965724904992356,0.3821081513029524,0.0,0.0,0.0
2.0,0.9480586011288573,0.55,0.5679052341829343,0.39805860112885727,1.0,1.0,0.0
2.1,0.9410014027327208,0.55,0.48839850139732344,0.39100140273272077,0.0,0.0,0.0
2.2,0.9366376664059944,0.55,0.42002271120169815,0.3866376664059944,0.0,0.0,0.0
2.3000000000000003,0.9415109729191985,0.55,0.3612195316334604,0.39151097291919845,0.0,0.0,0.0
2.4000000000000004,0.9449339323039628,0.55,0.3106487972047759,0.3949339323039628,0.0,0.0,0.0
2.5,0.9498723867893677,0.55,0.26715796559610727,0.39987238678936765,0.0,0.0,0.0
2.6,0.9569677444196758,0.55,0.22975585041265226,0.40696774441967576,0.0,0.0,0.0
2.7,0.968258545612295,0.55,0.19759003135488093,0.4182585456122949,0.0,0.0,0.0
2.8000000000000003,0.980163213160935,0.55,0.1699274269651976,0.430163213160935,0.0,0.0,0.0
2.9000000000000004,0.9930786214891774,0.55,0.14613758719006995,0.4430786214891773,0.0,0.0,0.0
3.0,1.0066862616979342,0.55,0.5906783249834602,0.45668626169793414,1.0,1.0,0.0
3.1,1.0031007079001528,0.55,0.5079833594857758,0.4531007079001528,0.0,0.0,0.0
3.2,0.9960670863712199,0.55,0.43686568915776713,0.44606708637121983,0.0,0.0,0.0
3.3000000000000003,0.9924858484995741,0.55,0.37570449267567974,0.44248584849957406,0.0,0.0,0.0
3.4000000000000004,0.9911413988509089,0.55,0.3231058637010846,0.44114139885090886,0.0,0.0,0.0
3.5,0.9967169676992871,0.55,0.27787104278293273,0.44671696769928704,0.0,0.0,0.0
3.6,1.0058192422855625,0.55,0.23896909679332215,0.4558192422855625,0.0,0.0,0.0
3.7,1.0127264202957196,0.55,0.20551342324225705,0.46272642029571953,0.0,0.0,0.0
3.8000000000000003,1.0188114986039933,0.55,0.17674154398834105,0.4688114986039933,0.0,0.0,0.0
3.9000000000000004,1.0261043025615981,0.55,0.1519977278299733,0.4761043025615981,0.0,0.0,0.0
4.0,1.038736475525782,0.55,0.5957180459337771,0.4887364755257819,1.0,1.0,0.0
4.1000000000000005,0.9874009463153157,0.55,0.5123175195030483,0.4374009463153157,0.0,0.0,0.0
4.2,0.9416444931260496,0.55,0.4405930667726215,0.39164449312604954,0.0,0.0,0.0
4.3,0.8976419303307904,0.55,0.3789100374244545,0.3476419303307904,0.0,0.0,0.0
4.4,0.8611489306006834,0.55,0.32586263218503086,0.3111489306006834,0.0,0.0,0.0
