time,temperature,T_ref,control,error
0.0,0.5,0.55,0.0,0.050000000000000044
0.1,0.6286618830479014,0.55,0.0,-0.07866188304790134
0.2,0.7376018401547855,0.55,0.0,-0.18760184015478543
0.30000000000000004,0.8591330858791688,0.55,0.0,-0.30913308587916877
0.4,0.9766383180142764,0.55,0.0,-0.4266383180142763
0.5,1.059496753303527,0.55,0.0,-0.5094967533035271
0.6000000000000001,1.1448026918366658,0.55,0.0,-0.5948026918366658
0.7000000000000001,1.2402484097543327,0.55,0.0,-0.6902484097543327
0.8,1.3265983551251037,0.55,0.0,-0.7765983551251037
0.9,1.4117313783142034,0.55,0.0,-0.8617313783142033
1.0,1.4843499872676837,0.55,0.0,-0.9343499872676837
1.1,1.570751363894909,0.55,0.0,-1.020751363894909
1.2000000000000002,1.6519228352657553,0.55,0.0,-1.1019228352657553
1.3,1.7220179148850443,0.55,0.0,-1.1720179148850443
1.4000000000000001,1.7993065222257005,0.55,0.0,-1.2493065222257005
1.5,1.8662284010596548,0.55,0.0,-1.3162284010596548
1.6,1.9166184432980307,0.55,0.0,-1.3666184432980306
1.7000000000000002,1.9768313666466653,0.55,0.0,-1.4268313666466652
1.8,2.0208313372219773,0.55,0.0,-1.4708313372219772
1.9000000000000001,2.0810587329317425,0.55,0.0,-1.5310587329317424
2.0,2.129065041768984,0.55,0.0,-1.579065041768984
2.1,2.173380690771047,0.55,0.0,-1.6233806907710469
2.2,2.2105743682590675,0.55,0.0,-1.6605743682590675
2.3000000000000003,2.2649887975218426,0.55,0.0,-1.7149887975218425
2.4000000000000004,2.3029786955465785,0.55,0.0,-1.7529786955465785
2.5,2.336377820980546,0.55,0.0,-1.7863778209805459
2.6,2.368909994562675,0.55,0.0,-1.8189099945626748
2.7,2.4086999826773763,0.55,0.0,-1.8586999826773762
2.8000000000000003,2.444880738960721,0.55,0.0,-1.894880738960721
2.9000000000000004,2.479769824410447,0.55,0.0,-1.929769824410447
3.0,2.513138232998265,0.55,0.0,-1.9631382329982652
3.1,2.5619875110743857,0.55,0.0,-2.011987511074386
3.2,2.5829737555734584,0.55,0.0,-2.032973755573458
3.3000000000000003,2.6018782117238732,0.55,0.0,-2.0518782117238734
3.4000000000000004,2.616845386676568,0.55,0.0,-2.066845386676568
3.5,2.6453801254014553,0.55,0.0,-2.095380125401455
3.6,2.6776531371984618,0.55,0.0,-2.127653137198462
3.7,2.6959229781332756,0.55,0.0,-2.1459229781332754
