time,temperature,T_ref,control,error
0.0,0.5,0.55,0.2530000000000002,0.050000000000000044
0.1,0.6200246141269778,0.55,0.0,-0.0700246141269778
0.2,0.7293858158098775,0.55,0.0,-0.17938581580987745
0.30000000000000004,0.8513177617698782,0.55,0.0,-0.3013177617698781
0.4,0.9692041517595094,0.55,0.0,-0.4192041517595093
0.5,1.0524251556153623,0.55,0.0,-0.5024251556153623
0.6000000000000001,1.1380759800374523,0.55,0.0,-0.5880759800374522
0.7000000000000001,1.2338497635607846,0.55,0.0,-0.6838497635607845
0.8,1.3205117745888313,0.55,0.0,-0.7705117745888312
0.9,1.4059416438135077,0.55,0.0,-0.8559416438135077
1.0,1.478842621450575,0.55,0.0,-0.928842621450575
1.1,1.5655125954781859,0.55,0.0,-1.0155125954781858
1.2000000000000002,1.6469395645996232,0.55,0.0,-1.0969395645996232
1.3,1.7172776811971682,0.55,0.0,-1.1672776811971681
1.4000000000000001,1.794797472462783,0.55,0.0,-1.244797472462783
1.5,1.8619392602486298,0.55,0.0,-1.3119392602486297
1.6,1.9125384863527568,0.55,0.0,-1.3625384863527568
1.7000000000000002,1.9729503915496247,0.55,0.0,-1.4229503915496247
1.8,2.0171396395139176,0.55,0.0,-1.4671396395139176
1.9000000000000001,2.0775470814454744,0.55,0.0,-1.5275470814454744
2.0,2.1257246555466542,0.55,0.0,-1.5757246555466542
2.1,2.17020321710717,0.55,0.0,-1.6202032171071699
2.2,2.207551861814412,0.55,0.0,-1.6575518618144118
2.3000000000000003,2.262113700455943,0.55,0.0,-1.7121137004559428
2.4000000000000004,2.300243818619199,0.55,0.0,-1.750243818619199
2.5,2.3337763255748345,0.55,0.0,-1.7837763255748345
2.6,2.3664353755850587,0.55,0.0,-1.8164353755850586
2.7,2.4063460522914397,0.55,0.0,-1.8563460522914397
2.8000000000000003,2.442641611114392,0.55,0.0,-1.892641611114392
2.9000000000000004,2.4776399001177998,0.55,0.0,-1.9276399001177997
3.0,2.5111121863391404,0.55,0.0,-1.9611121863391403
3.1,2.5600602758768147,0.55,0.0,-2.010060275876815
3.2,2.5811405127455957,0.55,0.0,-2.031140512745596
3.3000000000000003,2.6001343772037555,0.55,0.0,-2.0501343772037552
3.4000000000000004,2.615186599969572,0.55,0.0,-2.0651865999695715
3.5,2.64380223867679,0.55,0.0,-2.0938022386767896
3.6,2.676152204917431,0.55,0.0,-2.126152204917431
3.7,2.6944952471833763,0.55,0.0,-2.144495247183376
3.8000000000000003,2.7046815985285266,0.55,0.0,-2.1546815985285264
3.9000000000000004,2.714527908269049,0.55,0.0,-2.164527908269049
4.0,2.738644747852142,0.55,0.0,-2.188644747852142
4.1000000000000005,2.76251200912333,0.55,0.0,-2.21251200912333
4.2,2.7832142512977485,0.55,0.0,-2.233214251297748
4.3,2.790820193451256,0.55,0.0,-2.240820193451256
4.4,2.807031899732277,0.55,0.0,-2.2570318997322767
4.5,2.821298196628887,0.55,0.0,-2.271298196628887
4.6000000000000005,2.8358887458914888,0.55,0.0,-2.285888745891489
4.7,2.8562951074818943,0.55,0.0,-2.306295107481894
4.800000000000001,2.8692279067819544,0.55,0.0,-2.319227906781954
4.9,2.886083146160306,0.55,0.0,-2.3360831461603055
5.0,2.8960030008781668,0.55,0.0,-2.3460030008781665
5.1000000000000005,3.177654461864579,0.55,0.0,-2.627654461864579
5.2,3.4489913072799547,0.55,0.0,-2.898991307279955
5.300000000000001,3.6862104581333197,0.55,0.0,-3.13621045813332
5.4,3.923235140515098,0.55,0.0,-3.3732351405150975
5.5,4.147192978350226,0.55,0.0,-3.5971929783502263
5.6000000000000005,4.358543211607055,0.55,0.0,-3.808543211607055
5.7,4.5632231283262055,0.55,0.0,-4.013223128326206
5.800000000000001,4.775621523338428,0.55,0.0,-4.225621523338428
5.9,4.954053402121503,0.55,0.0,-4.404053402121503
6.0,5.142124150191757,0.55,0.0,-4.592124150191757
6.1000000000000005,5.29451109838197,0.55,0.0,-4.74451109838197
6.2,5.452945894826667,0.55,0.0,-4.902945894826667
6.300000000000001,5.608630116020551,0.55,0.0,-5.058630116020551
6.4,5.760956220813195,0.55,0.0,-5.210956220813195
6.5,5.907103336295872,0.55,0.0,-5.357103336295872
6.6000000000000005,6.04694397940297,0.55,0.0,-5.49694397940297
6.7,6.16854379079306,0.55,0.0,-5.61854379079306
6.800000000000001,6.2830768421968894,0.55,0.0,-5.73307684219689
6.9,6.405227327509283,0.55,0.0,-5.855227327509283
7.0,6.510927661294085,0.55,0.0,-5.960927661294085
7.1000000000000005,6.6006291089851725,0.55,0.0,-6.050629108985173
7.2,6.687379756542592,0.55,0.0,-6.137379756542592
7.300000000000001,6.772037874373719,0.55,0.0,-6.2220378743737195
7.4,6.86673329737809,0.55,0.0,-6.31673329737809
7.5,6.953263020025556,0.55,0.0,-6.403263020025556
7.6000000000000005,7.041053234481684,0.55,0.0,-6.491053234481684
7.7,7.113384489651537,0.55,0.0,-6.563384489651537
7.800000000000001,7.188046031254304,0.55,0.0,-6.638046031254304
7.9,7.263736793534346,0.55,0.0,-6.713736793534347
8.0,7.326386704441136,0.55,0.0,-6.776386704441136
8.1,7.393642360910799,0.55,0.0,-6.843642360910799
8.200000000000001,7.446430908522613,0.55,0.0,-6.896430908522613
8.3,7.499633649232643,0.55,0.0,-6.949633649232643
8.4,7.550054821185774,0.55,0.0,-7.000054821185774
8.5,7.589875906049494,0.55,0.0,-7.039875906049494
8.6,7.644583014951151,0.55,0.0,-7.0945830149511515
8.700000000000001,7.68705827845789,0.55,0.0,-7.13705827845789
8.8,7.7322809635082255,0.55,0.0,-7.182280963508226
8.9,7.779980637584815,0.55,0.0,-7.2299806375848155
9.0,7.825011816276801,0.55,0.0,-7.275011816276801
9.1,7.8700353377979955,0.55,0.0,-7.320035337797996
9.200000000000001,7.9052243303287755,0.55,0.0,-7.355224330328776
9.3,7.935449007167242,0.55,0.0,-7.385449007167242
9.4,7.9676354101333935,0.55,0.0,-7.417635410133394
9.5,7.982175901473118,0.55,0.0,-7.432175901473118
9.600000000000001,7.998409464297511,0.55,0.0,-7.448409464297511
9.700000000000001,8.015095435521243,0.55,0.0,-7.465095435521243
9.8,8.034222150173155,0.55,0.0,-7.484222150173156
9.9,8.066386254487334,0.55,0.0,-7.516386254487334
10.0,8.083929164102855,0.55,0.0,-7.533929164102855
10.100000000000001,8.105889660933704,0.55,0.0,-7.555889660933704
10.200000000000001,8.143553040214115,0.55,0.0,-7.593553040214116
10.3,8.162824632123298,0.55,0.0,-7.612824632123298
10.4,8.192094132799568,0.55,0.0,-7.642094132799568
10.5,8.20322481059851,0.55,0.0,-7.65322481059851
10.600000000000001,8.221094440056923,0.55,0.0,-7.671094440056923
10.700000000000001,8.23064671243226,0.55,0.0,-7.680646712432261
10.8,8.245843004776628,0.55,0.0,-7.695843004776628
10.9,8.272091577331484,0.55,0.0,-7.722091577331484
11.0,8.271383706290306,0.55,0.0,-7.721383706290307
11.100000000000001,8.29232779919457,0.55,0.0,-7.7423277991945705
11.200000000000001,8.310283556222446,0.55,0.0,-7.760283556222446
11.3,8.319044745066256,0.55,0.0,-7.769044745066256
11.4,8.318859566701178,0.55,0.0,-7.768859566701178
11.5,8.33386529321256,0.55,0.0,-7.78386529321256
11.600000000000001,8.34212295963842,0.55,0.0,-7.79212295963842
11.700000000000001,8.357599584124594,0.55,0.0,-7.807599584124595
11.8,8.37021316406948,0.55,0.0,-7.82021316406948
11.9,8.398010839919321,0.55,0.0,-7.848010839919321
12.0,8.406041461932483,0.55,0.0,-7.856041461932484
12.100000000000001,8.235839007236958,0.55,0.0,-7.685839007236958
12.200000000000001,8.085965155484107,0.55,0.0,-7.535965155484107
12.3,7.943807948223691,0.55,0.0,-7.393807948223691
12.4,7.819975738685424,0.55,0.0,-7.2699757386854245
12.5,7.696942133978428,0.55,0.0,-7.1469421339784285
12.600000000000001,7.575126547111093,0.55,0.0,-7.0251265471110935
12.700000000000001,7.470316294840762,0.55,0.0,-6.920316294840762
12.8,7.3440970394364555,0.55,0.0,-6.794097039436456
12.9,7.2295236849730395,0.55,0.0,-6.67952368497304
13.0,7.117669894857131,0.55,0.0,-6.567669894857131
13.100000000000001,7.016638939839448,0.55,0.0,-6.466638939839449
13.200000000000001,6.910666559197216,0.55,0.0,-6.360666559197216
13.3,6.8299808834896405,0.55,0.0,-6.279980883489641
13.4,6.744656558181742,0.55,0.0,-6.194656558181742
13.5,6.651007713349158,0.55,0.0,-6.1010077133491585
13.600000000000001,6.566478448706854,0.55,0.0,-6.016478448706854
13.700000000000001,6.499362654234265,0.55,0.0,-5.949362654234265
13.8,6.440766262887636,0.55,0.0,-5.890766262887636
13.9,6.396613694507138,0.55,0.0,-5.8466136945071385
14.0,6.363785788039485,0.55,0.0,-5.813785788039485
14.100000000000001,6.307564387135383,0.55,0.0,-5.757564387135383
14.200000000000001,6.24004546077567,0.55,0.0,-5.6900454607756705
14.3,6.164394389704621,0.55,0.0,-5.614394389704621
14.4,6.116430442337595,0.55,0.0,-5.566430442337595
14.5,6.059999198710336,0.55,0.0,-5.509999198710336
14.600000000000001,6.010295977662224,0.55,0.0,-5.460295977662224
14.700000000000001,5.961049415919996,0.55,0.0,-5.411049415919996
14.8,5.918917696461731,0.55,0.0,-5.368917696461732
14.9,5.890908476380261,0.55,0.0,-5.340908476380261
15.0,5.855175965448027,0.55,0.0,-5.3051759654480275
15.100000000000001,5.818029315593153,0.55,0.0,-5.268029315593153
15.200000000000001,5.773924140071699,0.55,0.0,-5.223924140071699
15.3,5.725579707424139,0.55,0.0,-5.175579707424139
15.4,5.6914768109352964,0.55,0.0,-5.141476810935297
15.5,5.663362385916958,0.55,0.0,-5.113362385916958
15.600000000000001,5.654836242230577,0.55,0.0,-5.1048362422305775
15.700000000000001,5.630349369557501,0.55,0.0,-5.080349369557501
