time,temperature,T_ref,control,error
0.0,0.5,0.55,0.2540000000000002,0.050000000000000044
0.1,0.6199904747241283,0.55,0.0,-0.06999047472412823
0.2,0.729353341405352,0.55,0.0,-0.17935334140535197
0.30000000000000004,0.8512868711607504,0.55,0.0,-0.30128687116075037
0.4,0.9691747677031662,0.55,0.0,-0.4191747677031662
0.5,1.0523972046363577,0.55,0.0,-0.5023972046363576
0.6000000000000001,1.1380493922437795,0.55,0.0,-0.5880493922437795
0.7000000000000001,1.2338244724691105,0.55,0.0,-0.6838244724691105
0.8,1.3204877169582532,0.55,0.0,-0.7704877169582531
0.9,1.4059187594874178,0.55,0.0,-0.8559187594874178
1.0,1.4788208532062384,0.55,0.0,-0.9288208532062383
1.1,1.565491888883653,0.55,0.0,-1.015491888883653
1.2000000000000002,1.6469198678776225,0.55,0.0,-1.0969198678776224
1.3,1.7172589450956348,0.55,0.0,-1.1672589450956348
1.4000000000000001,1.7947796501317042,0.55,0.0,-1.244779650131704
1.5,1.8619223071228943,0.55,0.0,-1.3119223071228943
1.6,1.91252236004072,0.55,0.0,-1.36252236004072
1.7000000000000002,1.9729350517271065,0.55,0.0,-1.4229350517271064
1.8,2.017125047823372,0.55,0.0,-1.467125047823372
1.9000000000000001,2.0775332014000742,0.55,0.0,-1.5275332014000742
2.0,2.1257114524390563,0.55,0.0,-1.5757114524390563
2.1,2.170190657922728,0.55,0.0,-1.620190657922728
2.2,2.207539915148623,0.55,0.0,-1.6575399151486228
2.3000000000000003,2.2621023364359196,0.55,0.0,-1.7121023364359196
2.4000000000000004,2.300233008828972,0.55,0.0,-1.7502330088289721
2.5,2.3337660429842977,0.55,0.0,-1.7837660429842976
2.6,2.3664255944823798,0.55,0.0,-1.8164255944823797
2.7,2.406336748218768,0.55,0.0,-1.8563367482187678
2.8000000000000003,2.4426327608066987,0.55,0.0,-1.8926327608066986
2.9000000000000004,2.477631481444706,0.55,0.0,-1.927631481444706
3.0,2.511104178249578,0.55,0.0,-1.9611041782495782
3.1,2.560052658346389,0.55,0.0,-2.010052658346389
3.2,2.5811332667265128,0.55,0.0,-2.0311332667265125
3.3000000000000003,2.600127484577193,0.55,0.0,-2.0501274845771933
3.4000000000000004,2.6151800435003736,0.55,0.0,-2.0651800435003738
3.5,2.643796001970368,0.55,0.0,-2.093796001970368
3.6,2.6761462723787703,0.55,0.0,-2.1261462723787705
