scenario,algo_name,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
baseline_burst,pid,0.10915560857561168,5.300000000000001,0.01328549133374241,4.009453344894192,1.3908694963342914,44,44
baseline_burst,pid_deadzone,0.1617290183216883,5.300000000000001,-0.020992598739217973,3.4065432229584687,1.1048191330252373,44,44
baseline_burst,event_pid,0.16708489627597012,5.300000000000001,-0.003126218643214068,3.5772077637018223,1.1387183816725794,33,33
baseline_burst,lif_snn,0.07614083155358187,5.300000000000001,-0.002140193831328202,4.08978683224003,2.280467361139253,68,68
baseline_burst,trinc,0.22152400402494132,5.300000000000001,-0.004894629339994549,3.1009983353477324,1.0043100549351778,26,98
burst_chain,pid,0.1601094115519449,1.2000000000000002,-0.00948726609149807,10.07958759186995,5.551347490036196,56,56
burst_chain,pid_deadzone,0.16751494378118326,1.2000000000000002,-0.026328755810008323,9.593437598450961,5.100294563311674,56,56
burst_chain,event_pid,0.17063125045601102,1.2000000000000002,-0.012297673136696764,9.887364961434763,5.346365730917392,46,46
burst_chain,lif_snn,0.10895889502642608,1.2000000000000002,-0.01892731850722346,10.402715053713377,7.196622283281852,156,156
burst_chain,trinc,0.44112176877504417,1.2000000000000002,-0.2324989977718418,6.590366034268105,2.626182838242276,37,187
idle_recovery,pid,0.1689540062930588,0.1,-0.007019123525464517,7.39252510186139,3.7318825868551,59,59
idle_recovery,pid_deadzone,0.17408036254736214,0.1,-0.04446095711712824,6.610148964037944,3.1886097747604754,51,51
idle_recovery,event_pid,0.17427250188428633,0.1,-0.0447577089213658,6.6242627948384385,3.190868199273353,51,51
idle_recovery,lif_snn,0.13400144601941333,0.1,-0.0070519949267323035,7.883123546548191,5.378330053388186,114,114
idle_recovery,trinc,0.4887364755257819,0.1,-0.16393186120161093,4.614838242071676,1.6942740215465273,41,147
noisy_lab,pid,0.12930072919686253,2.2,0.010714024116686326,3.2778281369680657,1.2243912709516036,52,52
noisy_lab,pid_deadzone,0.1327918269953673,2.2,-0.019737019722566827,2.868030172708143,1.0952606981580477,51,51
noisy_lab,event_pid,0.1432977491341798,2.2,0.010517662624413143,3.13564641937863,1.128099652438987,45,45
noisy_lab,lif_snn,0.09812763017333281,2.2,0.008545940362412036,3.3560000950413973,2.2062205257273817,53,53
noisy_lab,trinc,0.24823894102478317,2.2,0.0071687020597922865,2.4141034626621463,0.7784536711934829,17,67
thermal_shock,pid,0.11925185882839129,7.5,-0.00959483560666633,5.6820992110809945,2.686326224695187,38,38
thermal_shock,pid_deadzone,0.285604983209375,7.5,-0.05708415579278882,4.540459089537559,1.9022260674064797,35,35
thermal_shock,event_pid,0.3043605359623257,7.5,-0.06188101050242436,4.429788469717782,1.8327185410916464,36,36
thermal_shock,lif_snn,0.0757483815739608,7.5,-0.0009054731403073501,6.04704764580233,3.648705852564813,94,94
thermal_shock,trinc,0.2538428634804055,7.5,-0.17240994249296154,4.026244475732206,1.5494595748533317,37,118
tracking_drill,pid,0.05144292349164625,0.4,0.007268971023382933,1.8470564278846127,0.30070613885941583,87,87
tracking_drill,pid_deadzone,0.059998739295605175,0.4,-0.015133483048253873,1.5454153667365307,0.23056194884536074,74,74
tracking_drill,event_pid,0.05783406965028037,0.4,-0.007090859378446234,1.6363268239403377,0.2499045073727158,77,77
tracking_drill,lif_snn,0.06757927003629827,0.4,0.03652416133109861,2.562034984783594,1.0524546014101197,66,66
