time,temperature,T_ref,control,error,gP,gH,gS
0.0,0.5,0.55,0.0,-0.050000000000000044,-1.0,0.0,-1.0
0.1,0.49069566938742026,0.55,0.0,-0.05930433061257978,0.0,0.0,0.0
0.2,0.4777706914243793,0.55,0.0,-0.07222930857562077,0.0,0.0,0.0
0.30000000000000004,0.4707913661521939,0.55,0.0,-0.07920863384780613,0.0,0.0,0.0
0.4,0.46469252147655393,0.55,0.0,-0.08530747852344611,0.0,0.0,0.0
0.5,0.45018989124050696,0.55,0.0,-0.09981010875949309,0.0,0.0,0.0
0.6000000000000001,0.438278280924682,0.55,0.0,-0.11172171907531803,0.0,0.0,0.0
0.7000000000000001,0.4311860461638916,0.55,0.0,-0.11881395383610843,0.0,0.0,0.0
0.8,0.4230767198363789,0.55,0.0,-0.12692328016362114,0.0,0.0,0.0
0.9,0.4162260717104643,0.55,0.0,-0.13377392828953577,0.0,0.0,0.0
1.0,0.40717111735644707,0.55,0.0,-0.14282888264355298,-1.0,-1.0,0.0
1.1,0.40371586349932415,0.55,0.0,-0.1462841365006759,0.0,0.0,0.0
1.2000000000000002,0.4001093326696525,0.55,0.0,-0.14989066733034756,0.0,0.0,0.0
1.3,0.3945277816229591,0.55,0.0,-0.15547221837704095,0.0,0.0,0.0
1.4000000000000001,0.3923778895886316,0.55,0.0,-0.15762211041136842,0.0,0.0,0.0
1.5,0.38834433705698806,0.55,0.0,-0.16165566294301198,0.0,0.0,0.0
1.6,0.38050961852710913,0.55,0.0,-0.16949038147289092,0.0,0.0,0.0
1.7000000000000002,0.37670718166415734,0.55,0.0,-0.1732928183358427,0.0,0.0,0.0
1.8,0.3690908145438492,0.55,0.0,-0.18090918545615087,0.0,0.0,0.0
1.9000000000000001,0.3673248959621732,0.55,0.0,-0.18267510403782683,0.0,0.0,0.0
2.0,0.3628523230403746,0.55,0.0,-0.18714767695962542,-1.0,-1.0,0.0
2.1,0.3581736914433051,0.55,0.0,-0.19182630855669497,0.0,0.0,0.0
2.2,0.35221476684292463,0.55,0.0,-0.1977852331570754,0.0,0.0,0.0
2.3000000000000003,0.35223105748834926,0.55,0.0,-0.19776894251165078,0.0,0.0,0.0
2.4000000000000004,0.34811542025035813,0.55,0.0,-0.2018845797496419,0.0,0.0,0.0
2.5,0.3433612862574094,0.55,0.0,-0.20663871374259063,0.0,0.0,0.0
