time,temperature,T_ref,control,error
0.0,0.5,0.55,0.0,-0.050000000000000044
0.1,0.49069566938742026,0.55,0.0,-0.05930433061257978
0.2,0.4777706914243793,0.55,0.0,-0.07222930857562077
0.30000000000000004,0.4707913661521939,0.55,0.0,-0.07920863384780613
0.4,0.46469252147655393,0.55,0.0,-0.08530747852344611
0.5,0.45018989124050696,0.55,0.0,-0.09981010875949309
0.6000000000000001,0.438278280924682,0.55,0.0,-0.11172171907531803
0.7000000000000001,0.4311860461638916,0.55,0.0,-0.11881395383610843
0.8,0.4230767198363789,0.55,0.0,-0.12692328016362114
0.9,0.4162260717104643,0.55,0.0,-0.13377392828953577
1.0,0.40717111735644707,0.55,0.0,-0.14282888264355298
1.1,0.40371586349932415,0.55,0.0,-0.1462841365006759
1.2000000000000002,0.4001093326696525,0.55,0.0,-0.14989066733034756
1.3,0.3945277816229591,0.55,0.0,-0.15547221837704095
1.4000000000000001,0.3923778895886316,0.55,0.0,-0.15762211041136842
1.5,0.38834433705698806,0.55,0.0,-0.16165566294301198
1.6,0.38050961852710913,0.55,0.0,-0.16949038147289092
1.7000000000000002,0.37670718166415734,0.55,0.0,-0.1732928183358427
1.8,0.3690908145438492,0.55,0.0,-0.18090918545615087
1.9000000000000001,0.3673248959621732,0.55,0.0,-0.18267510403782683
2.0,0.3628523230403746,0.55,0.0,-0.18714767695962542
2.1,0.3581736914433051,0.55,0.0,-0.19182630855669497
2.2,0.35221476684292463,0.55,0.0,-0.1977852331570754
2.3000000000000003,0.35223105748834926,0.55,0.0,-0.19776894251165078
2.4000000000000004,0.34811542025035813,0.55,0.0,-0.2018845797496419
2.5,0.3433612862574094,0.55,0.0,-0.20663871374259063
2.6,0.33904701088703904,0.55,0.0,-0.210952989112961
2.7,0.3375778000892398,0.55,0.0,-0.21242219991076022
2.8000000000000003,0.3356733133863528,0.55,0.0,-0.21432668661364723
2.9000000000000004,0.3339953668585279,0.55,0.0,-0.21600463314147217
3.0,0.3324463110541837,0.55,0.0,-0.21755368894581634
3.1,0.33609865788489823,0.55,0.0,-0.2139013421151018
3.2,0.3319446397823751,0.55,0.0,-0.21805536021762495
3.3000000000000003,0.3276579009274001,0.55,0.0,-0.22234209907259994
3.4000000000000004,0.3226572995908178,0.55,0.0,-0.22734270040918225
3.5,0.32216849819772087,0.55,0.0,-0.22783150180227918
3.6,0.32324085952924336,0.55,0.0,-0.22675914047075668
3.7,0.3205374556456721,0.55,0.0,-0.22946254435432795
3.8000000000000003,0.315776458013722,0.55,0.0,-0.23422354198627804
3.9000000000000004,0.3112753095592984,0.55,0.0,-0.23872469044070166
4.0,0.3114011575748037,0.55,0.0,-0.23859884242519636
4.1000000000000005,0.3118018493649097,0.55,0.0,-0.23819815063509037
4.2,0.3115878573028118,0.55,0.0,-0.23841214269718825
4.3,0.30776215630886083,0.55,0.0,-0.2422378436911392
4.4,0.3068061312523225,0.55,0.0,-0.24319386874767757
4.5,0.3055554535956184,0.55,0.0,-0.24444454640438162
4.6000000000000005,0.30467931936182724,0.55,0.0,-0.2453206806381728
4.7,0.30581840819681755,0.55,0.0,-0.2441815918031825
4.800000000000001,0.3049885677632937,0.55,0.0,-0.24501143223670635
4.9,0.3055966507751939,0.55,0.0,-0.24440334922480617
5.0,0.30439257180084195,0.55,0.0,-0.2456074281991581
5.1000000000000005,0.30397459095752244,0.55,0.0,-0.2460254090424776
5.2,0.3046961222992504,0.55,0.0,-0.24530387770074963
5.300000000000001,0.29925121849851777,0.55,0.0,-0.2507487815014823
5.4,0.2976418928730207,0.55,0.0,-0.25235810712697937
5.5,0.2959017522887556,0.55,0.0,-0.25409824771124445
5.6000000000000005,0.29407617039292716,0.55,0.0,-0.2559238296070729
5.7,0.2938902230411849,0.55,0.0,-0.25610977695881515
5.800000000000001,0.2996543480638928,0.55,0.0,-0.25034565193610725
5.9,0.29892351408319257,0.55,0.0,-0.2510764859168075
6.0,0.30483640177976357,0.55,0.0,-0.24516359822023648
6.1000000000000005,0.30396107772687864,0.55,0.0,-0.2460389222731214
6.2,0.3089592254733506,0.55,0.0,-0.24104077452664946
6.300000000000001,0.3174001723334147,0.55,0.0,-0.23259982766658532
6.4,0.32926732252375335,0.55,0.0,-0.2207326774762467
6.5,0.34379685851198816,0.55,0.0,-0.2062031414880119
6.6000000000000005,0.36089965640465094,0.55,0.0,-0.1891003435953491
6.7,0.37678880657559044,0.55,0.0,-0.1732111934244096
6.800000000000001,0.3944457812261123,0.55,0.0,-0.15555421877388775
6.9,0.4178101166364755,0.55,0.0,-0.13218988336352455
7.0,0.43916056446194274,0.55,0.0,-0.11083943553805731
7.1000000000000005,0.4581000928757472,0.55,0.0,-0.09189990712425283
7.2,0.4780537841829283,0.55,0.0,-0.07194621581707172
7.300000000000001,0.4988722028955103,0.55,0.0,-0.051127797104489725
7.4,0.5238604546037455,0.55,0.0,-0.026139545396254515
7.5,0.5473082177186592,0.55,0.0,-0.0026917822813408154
7.6000000000000005,0.5718295372317281,0.55,0.0,0.02182953723172809
7.7,0.592256947839759,0.55,0.0,0.042256947839758974
7.800000000000001,0.61379321273676,0.55,0.2,0.06379321273675997
7.9,0.6257483815739608,0.55,0.39,0.0757483815739608
8.0,0.6248096638782935,0.55,0.5705,0.07480966387829346
8.1,0.6171113297337518,0.55,0.741975,0.06711132973375178
8.200000000000001,0.5977465513976975,0.55,0.70487625,0.047746551397697456
8.3,0.5821427478871449,0.55,0.8696324375,0.032142747887144885
8.4,0.5588729949196942,0.55,0.8261508156249999,0.008872994919694177
8.5,0.5365513892264948,0.55,0.7848432748437499,-0.013448610773505232
8.6,0.5225436187033923,0.55,0.7456011111015624,-0.027456381296607768
8.700000000000001,0.5084953228701682,0.55,0.5083210555464841,-0.04150467712983186
8.8,0.5088915434028948,0.55,0.4829050027691599,-0.04110845659710527
8.9,0.5122806329873815,0.55,0.25875975263070183,-0.037719367012618576
9.0,0.5272447089967832,0.55,0.24582176499916672,-0.022755291003216827
9.1,0.5433100097932415,0.55,0.23353067674920838,-0.006689990206758534
9.200000000000001,0.5575264855030254,0.55,0.22185414291174796,0.007526485503025371
9.3,0.5713446829914594,0.55,0.21076143576616055,0.021344682991459307
9.4,0.5868389139017566,0.55,0.2002233639778525,0.03683891390175653
9.5,0.5981280716378912,0.55,0.3902121957789599,0.04812807163789112
9.600000000000001,0.6007592828420857,0.55,0.5707015859900119,0.05075928284208564
9.700000000000001,0.5953029638454227,0.55,0.5421665066905113,0.04530296384542265
9.8,0.5934292275537948,0.55,0.7150581813559858,0.04342922755379475
9.9,0.5878997782932848,0.55,0.6793052722881865,0.037899778293284725
10.0,0.5814023010982814,0.55,0.8453400086737772,0.03140230109828135
10.100000000000001,0.5691036877199804,0.55,0.8030730082400883,0.01910368771998039
10.200000000000001,0.5652628292610222,0.55,0.7629193578280838,0.015262829261022182
10.3,0.5592734521142168,0.55,0.7247733899366796,0.009273452114216707
10.4,0.5592265317937263,0.55,0.8885347204398457,0.009226531793726234
10.5,0.5460755306114747,0.55,0.8441079844178534,-0.003924469388525309
10.600000000000001,0.5380571858113101,0.55,0.8019025851969607,-0.01194281418868992
10.700000000000001,0.5302248319675767,0.55,0.7618074559371126,-0.019775168032423296
10.8,0.5263466481572515,0.55,0.723717083140257,-0.023653351842748527
10.9,0.527679775872232,0.55,0.487531228983244,-0.022320224127768018
11.0,0.5327252063306551,0.55,0.4631546675340818,-0.017274793669344923
11.100000000000001,0.5445583410870154,0.55,0.4399969341573777,-0.005441658912984648
11.200000000000001,0.5556461489984056,0.55,0.41799708744950875,0.005646148998405542
11.3,0.563995055093693,0.55,0.3970972330770333,0.01399505509369292
11.4,0.5695803529419078,0.55,0.3772423714231816,0.01958035294190774
11.5,0.5795814375550892,0.55,0.3583802528520225,0.02958143755508913
11.600000000000001,0.587417988526086,0.55,0.5404612402094213,0.03741798852608591
11.700000000000001,0.5870567163394079,0.55,0.5134381781989502,0.03705671633940788
11.8,0.5866931045453712,0.55,0.6877662692890028,0.036693104545371114
11.9,0.5814856207895975,0.55,0.6533779558245526,0.03148562078959749
12.0,0.5721340275143263,0.55,0.820709058033325,0.02213402751432625
12.100000000000001,0.5517684036569568,0.55,0.7796736051316586,0.0017684036569567407
12.200000000000001,0.5375680642666749,0.55,0.7406899248750757,-0.012431935733325128
12.3,0.5257439965298715,0.55,0.7036554286313219,-0.024256003470128573
12.4,0.5194552489337493,0.55,0.6684726571997558,-0.030544751066250764
12.5,0.5134319868287882,0.55,0.43504902433976794,-0.03656801317121183
12.600000000000001,0.5179823881845822,0.55,0.4132965731227795,-0.032017611815417846
12.700000000000001,0.5266169781731489,0.55,0.1926317444666405,-0.023383021826851147
12.8,0.538078994264294,0.55,0.18300015724330845,-0.011921005735706092
12.9,0.5510898283442641,0.55,0.17385014938114302,0.0010898283442640766
13.0,0.5630704710436719,0.55,0.16515764191208585,0.013070471043671872
13.100000000000001,0.5765308378841405,0.55,0.15689975981648155,0.026530837884140457
13.200000000000001,0.5868245610519764,0.55,0.14905477182565746,0.0368245610519764
13.3,0.6030765796736284,0.55,0.3416020332343746,0.05307657967362833
13.4,0.6061805486364465,0.55,0.5245219315726559,0.0561805486364465
13.5,0.5960437366503903,0.55,0.4982958349940231,0.0460437366503903
13.600000000000001,0.5890570643723655,0.55,0.6733810432443219,0.039057064372365446
13.700000000000001,0.577416823524481,0.55,0.6397119910821057,0.027416823524480938
13.8,0.569585691004872,0.55,0.6077263915280005,0.019585691004871952
13.9,0.5672113046432664,0.55,0.7773400719516004,0.017211304643266367
14.0,0.5590251517503405,0.55,0.7384730683540203,0.009025151750340465
14.100000000000001,0.5456900107925571,0.55,0.7015494149363192,-0.004309989207442966
14.200000000000001,0.5306221352036621,0.55,0.6664719441895032,-0.019377864796337962
14.3,0.514588643540327,0.55,0.633148346980028,-0.03541135645967308
14.4,0.5081697036714029,0.55,0.40149092963102656,-0.04183029632859714
14.5,0.5106322510308001,0.55,0.38141638314947524,-0.03936774896919992
14.600000000000001,0.5152039432683049,0.55,0.16234556399200145,-0.03479605673169517
14.700000000000001,0.5301773121501487,0.55,0.15422828579240136,-0.019822687849851306
14.8,0.546314029664221,0.55,0.14651687150278128,-0.0036859703357789986
14.9,0.5657480603857887,0.55,0.1391910279276422,0.015748060385788687
15.0,0.5819660726281712,0.55,0.13223147653126008,0.031966072628171194
15.100000000000001,0.5968720043449813,0.55,0.3256199027046971,0.04687200434498129
15.200000000000001,0.5986018704929734,0.55,0.30933890756946225,0.048601870492973376
15.3,0.5991697783449655,0.55,0.4938719621909891,0.0491697783449655
15.4,0.5938474730482521,0.55,0.46917836408143965,0.043847473048252095
15.5,0.5913211556187824,0.55,0.6457194458773676,0.04132115561878236
15.600000000000001,0.5853505453161014,0.55,0.6134334735834992,0.03535054531610138
15.700000000000001,0.5763821787758528,0.55,0.7827617999043242,0.026382178775852805
15.8,0.5617166319732211,0.55,0.7436237099091079,0.011716631973221037
15.9,0.5452567267772761,0.55,0.7064425244136524,-0.004743273222723943
16.0,0.5293713571259829,0.55,0.6711203981929698,-0.02062864287401711
16.1,0.5166564153294897,0.55,0.6375643782833212,-0.03334358467051035
16.2,0.5069409558188306,0.55,0.40568615936915514,-0.04305904418116946
16.3,0.5180678678255086,0.55,0.3854018514006974,-0.03193213217449142
16.400000000000002,0.5208873434279988,0.55,0.1661317588306625,-0.02911265657200124
16.5,0.5397664094678856,0.55,0.15782517088912937,-0.010233590532114478
16.6,0.553006785468544,0.55,0.1499339123446729,0.0030067854685439377
16.7,0.5715655630391444,0.55,0.14243721672743925,0.021565563039144364
16.8,0.5880428786935665,0.55,0.13531535589106727,0.038042878693566484
16.900000000000002,0.6025271708310059,0.55,0.3285495880965139,0.05252717083100589
17.0,0.6068406971651468,0.55,0.5121221086916883,0.056840697165146725
17.1,0.5997394517223381,0.55,0.48651600325710387,0.04973945172233807
17.2,0.5975648799717391,0.55,0.6621902030942486,0.04756487997173908
17.3,0.5838063802879094,0.55,0.6290806929395362,0.03380638028790939
17.400000000000002,0.5700393787224614,0.55,0.7976266582925593,0.02003937872246131
17.5,0.5481140238826672,0.55,0.7577453253779313,-0.001885976117332877
17.6,0.5335525778627639,0.55,0.7198580591090347,-0.016447422137236156
17.7,0.5257938426462408,0.55,0.6838651561535829,-0.024206157353759195
17.8,0.5159619107583426,0.55,0.44967189834590376,-0.03403808924165741
17.900000000000002,0.5176988531510337,0.55,0.42718830342860853,-0.032301146848966344
18.0,0.5217209725904371,0.55,0.2058288882571781,-0.028279027409562896
18.1,0.5399369094096937,0.55,0.19553744384431918,-0.0100630905903063
18.2,0.5546094462075843,0.55,0.18576057165210322,0.0046094462075843
18.3,0.5672386735156093,0.55,0.17647254306949806,0.01723867351560926
18.400000000000002,0.584332985688123,0.55,0.16764891591602316,0.03433298568812293
18.5,0.5990859911955844,0.55,0.359266470120222,0.04908599119558432
18.6,0.6067122789404682,0.55,0.5413031466142109,0.05671227894046815
18.7,0.6006395821792164,0.55,0.7142379892835002,0.05063958217921638
18.8,0.581776222985479,0.55,0.6785260898193252,0.031776222985479
18.900000000000002,0.5651449913359887,0.55,0.6445997853283588,0.015144991335988678
19.0,0.5600437817751001,0.55,0.8123697960619409,0.010043781775100014
