time,temperature,T_ref,control,error,gP,gH,gS
0.0,0.5,0.55,0.0,-0.050000000000000044,-1.0,0.0,-1.0
0.1,0.4985288634896203,0.55,0.0,-0.05147113651037977,0.0,0.0,0.0
0.2,0.493095371595505,0.55,0.0,-0.05690462840449506,0.0,0.0,0.0
0.30000000000000004,0.4932981801341773,0.55,0.0,-0.056701819865822733,0.0,0.0,0.0
0.4,0.49406143814545667,0.55,0.0,-0.05593856185454338,0.0,0.0,0.0
0.5,0.4861126719091364,0.55,0.0,-0.06388732809086367,0.0,0.0,0.0
0.6000000000000001,0.48049813862204527,0.55,0.0,-0.06950186137795478,0.0,0.0,0.0
0.7000000000000001,0.4794474890846143,0.55,0.0,-0.07055251091538572,0.0,0.0,0.0
0.8,0.4771158313432393,0.55,0.0,-0.07288416865676073,0.0,0.0,0.0
0.9,0.47579621419629636,0.55,0.0,-0.07420378580370368,0.0,0.0,0.0
1.0,0.4720322272268407,0.55,0.0,-0.07796777277315936,-1.0,0.0,0.0
1.1,0.47364913777536644,0.55,0.0,-0.07635086222463361,0.0,0.0,0.0
1.2000000000000002,0.47488237254760807,0.55,0.0,-0.07511762745239198,0.0,0.0,0.0
1.3,0.4739201780366785,0.55,0.0,-0.07607982196332153,0.0,0.0,0.0
1.4000000000000001,0.4761885418340097,0.55,0.0,-0.07381145816599033,0.0,0.0,0.0
1.5,0.4763670806293554,0.55,0.0,-0.07363291937064464,0.0,0.0,0.0
1.6,0.47255650656949727,0.55,0.0,-0.07744349343050277,0.0,0.0,0.0
1.7000000000000002,0.47261590614041826,0.55,0.0,-0.07738409385958178,0.0,0.0,0.0
1.8,0.4686895086053465,0.55,0.0,-0.08131049139465352,0.0,0.0,0.0
1.9000000000000001,0.47046660244410804,0.55,0.0,-0.079533397555892,0.0,0.0,0.0
2.0,0.46937189775675636,0.55,0.0,-0.08062810224324368,-1.0,-1.0,0.0
2.1,0.46792577308933153,0.55,0.0,-0.08207422691066851,0.0,0.0,0.0
2.2,0.4650619752116047,0.55,0.0,-0.08493802478839535,0.0,0.0,0.0
2.3000000000000003,0.46804825905372216,0.55,0.0,-0.08195174094627788,0.0,0.0,0.0
2.4000000000000004,0.46675768765202685,0.55,0.0,-0.08324231234797319,0.0,0.0,0.0
2.5,0.4647086631400322,0.55,0.0,-0.08529133685996787,0.0,0.0,0.0
2.6,0.46298815354772427,0.55,0.0,-0.08701184645227578,0.0,0.0,0.0
2.7,0.46400488240651,0.55,0.0,-0.08599511759349004,0.0,0.0,0.0
2.8000000000000003,0.4644714294501582,0.55,0.0,-0.08552857054984186,0.0,0.0,0.0
2.9000000000000004,0.46505708836768594,0.55,0.0,-0.0849429116323141,0.0,0.0,0.0
3.0,0.46566844953699527,0.55,0.0,-0.08433155046300478,-1.0,0.0,0.0
3.1,0.47138247406382716,0.55,0.0,-0.07861752593617288,0.0,0.0,0.0
3.2,0.4691736344743032,0.55,0.0,-0.08082636552569683,0.0,0.0,0.0
3.3000000000000003,0.4667550381246852,0.55,0.0,-0.08324496187531483,0.0,0.0,0.0
3.4000000000000004,0.4635498081134095,0.55,0.0,-0.08645019188659053,0.0,0.0,0.0
3.5,0.4647901554668614,0.55,0.0,-0.08520984453313862,0.0,0.0,0.0
