time,temperature,T_ref,control,error,gP,gH,gS
0.0,0.5,0.55,0.0,-0.050000000000000044,-1.0,0.0,-1.0
0.1,0.5046408352734537,0.55,0.0,-0.04535916472654633,0.0,0.0,0.0
0.2,0.5072126783485101,0.55,0.0,-0.04278732165148991,0.0,0.0,0.0
0.30000000000000004,0.5165223687806029,0.55,0.0,-0.033477631219397175,0.0,0.0,0.0
0.4,0.526327061588344,0.55,0.0,-0.023672938411656075,0.0,0.0,0.0
0.5,0.5261035105547496,0.55,0.0,-0.02389648944525047,0.0,0.0,0.0
0.6000000000000001,0.5259399698400228,0.55,0.0,-0.024060030159977264,0.0,0.0,0.0
0.7000000000000001,0.5278195865072487,0.55,0.0,-0.02218041349275135,0.0,0.0,0.0
0.8,0.5263909147593776,0.55,0.0,-0.02360908524062244,0.0,0.0,0.0
0.9,0.5249850650169254,0.55,0.0,-0.02501493498307461,0.0,0.0,0.0
1.0,0.5214510589219143,0.55,0.0,-0.0285489410780857,0.0,0.0,0.0
1.1,0.5247407033023767,0.55,0.0,-0.02525929669762339,0.0,0.0,0.0
1.2000000000000002,0.5297481295457183,0.55,0.0,-0.020251870454281784,0.0,0.0,0.0
1.3,0.534569786223979,0.55,0.0,-0.015430213776021051,0.0,0.0,0.0
1.4000000000000001,0.5438458938900652,0.55,0.0,-0.0061541061099348315,0.0,0.0,0.0
1.5,0.551068896609482,0.55,0.0,0.0010688966094819508,0.0,0.0,0.0
1.6,0.5530678920052422,0.55,0.0,0.0030678920052421566,0.0,0.0,0.0
1.7000000000000002,0.556769898550512,0.55,0.0,0.00676989855051191,0.0,0.0,0.0
1.8,0.5540776365764257,0.55,0.0,0.0040776365764256806,0.0,0.0,0.0
1.9000000000000001,0.5551158519179719,0.55,0.0,0.005115851917971814,0.0,0.0,0.0
2.0,0.5523884785865283,0.55,0.0,0.002388478586528242,0.0,0.0,0.0
2.1,0.5496930942327863,0.55,0.0,-0.00030690576721370544,0.0,0.0,0.0
2.2,0.5471001525740768,0.55,0.0,-0.0028998474259231966,0.0,0.0,0.0
2.3000000000000003,0.552490507768797,0.55,0.0,0.002490507768797001,0.0,0.0,0.0
2.4000000000000004,0.5556828723126607,0.55,0.0,0.005682872312660625,0.0,0.0,0.0
2.5,0.5593939821885978,0.55,0.0,0.009393982188597771,0.0,0.0,0.0
2.6,0.563496537439716,0.55,0.0,0.013496537439715905,0.0,0.0,0.0
2.7,0.5691415835206036,0.55,0.0,0.019141583520603578,0.0,0.0,0.0
2.8000000000000003,0.5721497884700315,0.55,0.0,0.022149788470031462,0.0,0.0,0.0
2.9000000000000004,0.5729180096176656,0.55,0.0,0.022918009617665547,0.0,0.0,0.0
3.0,0.5718117426470736,0.55,0.0,0.02181174264707353,0.0,0.0,0.0
3.1,0.5749487359335784,0.55,0.0,0.02494873593357838,0.0,0.0,0.0
3.2,0.5706288306556908,0.55,0.0,0.020628830655690766,0.0,0.0,0.0
3.3000000000000003,0.5676512043711759,0.55,0.0,0.017651204371175844,0.0,0.0,0.0
3.4000000000000004,0.5660582393285115,0.55,0.0,0.01605823932851147,0.0,0.0,0.0
3.5,0.5709848693054899,0.55,0.0,0.020984869305489817,0.0,0.0,0.0
3.6,0.5787168310922063,0.55,0.0,0.02871683109220624,0.0,0.0,0.0
3.7,0.5827118224816523,0.55,0.0,0.032711822481652275,0.0,0.0,0.0
3.8000000000000003,0.583421925914852,0.55,0.32,0.033421925914851935,1.0,0.0,0.0
