time,pid,pid_deadzone,event_pid,lif_snn,trinc,T_ref
0.0,0.5,0.5,0.5,0.5,0.5,0.56
0.1,0.5065288634896203,0.5065288634896203,0.5065288634896203,0.5065288634896203,0.5065288634896203,0.56
0.2,0.5087052069915108,0.5087052069915108,0.5087052069915108,0.5087052069915108,0.5087052069915108,0.56
0.30000000000000004,0.5161467148744707,0.5161467148744707,0.5161467148744707,0.5161467148744707,0.5161467148744707,0.56
0.4,0.5237956366971506,0.5237956366971506,0.5237956366971506,0.5237956366971506,0.5237956366971506,0.56
0.5,0.522396716485454,0.522396716485454,0.522396716485454,0.522396716485454,0.522396716485454,0.56
0.6000000000000001,0.5230125894629342,0.5230125894629342,0.5230125894629342,0.5230125894629342,0.5230125894629342,0.56
0.7000000000000001,0.5278884856909569,0.5278884856909569,0.5278884856909569,0.5278884856909569,0.5278884856909569,0.56
0.8,0.5311943326673316,0.5311943326673316,0.5311943326673316,0.5311943326673316,0.5311943326673316,0.56
0.9,0.5352372758886739,0.5352372758886739,0.5352372758886739,0.5352372758886739,0.5352372758886739,0.56
1.0,0.5365743141321924,0.5365743141321924,0.5365743141321924,0.5365743141321924,0.5365743141321924,0.56
1.1,0.5430434699584191,0.5430434699584191,0.5430434699584191,0.5430434699584191,0.5430434699584191,0.56
1.2000000000000002,0.5488923032137046,0.5488923032137046,0.5488923032137046,0.5488923032137046,0.5488923032137046,0.56
1.3,0.5523206017915273,0.5523206017915273,0.5523206017915273,0.5523206017915273,0.5523206017915273,0.56
1.4000000000000001,0.5587653318029466,0.5587653318029466,0.5587653318029466,0.5587653318029466,0.5587653318029466,0.56
1.5,0.5623847577774104,0.5629165530286235,0.5629165530286235,0.5629165530286235,0.5629165530286235,0.56
1.6,0.5615313142051471,0.5628849113906935,0.5628849113906935,0.5628849113906935,0.5628849113906935,0.56
1.7000000000000002,0.5650698429084079,0.5665389426745523,0.5665389426745523,0.5665389426745523,0.5665389426745523,0.56
1.8,0.5632938069669537,0.5652874173401234,0.5660318645950705,0.5660318645950705,0.5660318645950705,0.56
1.9000000000000001,0.5680348588690916,0.5703197237248095,0.5710615157117568,0.5710615157117568,0.5710615157117568,0.56
2.0,0.5681267124078953,0.5706275927301075,0.5730607392120411,0.5730607392120411,0.5730607392120411,0.56
2.1,0.5682992864644115,0.570947238871546,0.5735489345794722,0.5745576500739878,0.5745576500739878,0.56
2.2,0.56689663757206,0.5696449905699618,0.57256869246248,0.5744933541891503,0.5744933541891503,0.56
2.3000000000000003,0.5716711670849861,0.5744806059506684,0.5776465200353476,0.5801426067008524,0.5801426067008524,0.56
2.4000000000000004,0.5704656649708031,0.5733326424668062,0.5766828929741509,0.5696801913343609,0.5813851294541895,0.56
2.5,0.5693601748001118,0.5722770176825451,0.5757626223233191,0.5594918858721143,0.5817456586374925,0.56
2.6,0.5686757478040503,0.571636229343747,0.5752169672854158,0.5505850373063405,0.5823171874200661,0.56
2.7,0.5707082917286337,0.5737081845410597,0.5773497726188468,0.5452940944117863,0.5855141706231239,0.56
2.8000000000000003,0.5714160942179571,0.5744649801836269,0.5781290635949311,0.5402623745495901,0.5880546397519393,0.56
2.9000000000000004,0.5722085809438417,0.575318810565569,0.5789701586012456,0.5360946074652433,0.5906130743809999,0.56
3.0,0.5728104701776779,0.5759702042707384,0.5796029761360019,0.5326372228539697,0.5931009978550595,0.56
3.1,0.618372139591441,0.621575557090381,0.6251818475000802,0.5830851417656515,0.621872162671353,0.56
3.2,0.6405322931369513,0.6438273507427003,0.6474013625565525,0.6234284987875041,0.6438433014890129,0.56
3.3000000000000003,0.6597655344615468,0.663208751921665,0.6667458551454173,0.6497818658119384,0.6664030784288264,0.56
3.4000000000000004,0.6736548045486085,0.6773110115378915,0.6808076078818274,0.662825682748881,0.6886983584499797,0.56
3.5,0.6888107272340392,0.6927447459608282,0.6961980658710469,0.6689588950264261,0.7157270461034099,0.56
3.6,0.7013541288611769,0.7056330042752486,0.7090409544938218,0.6662964443014843,0.7443242319547011,0.56
3.7,0.7069987036639658,0.711687650385107,0.7150486874201228,0.6505013383250454,0.7689839546737981,0.56
3.8000000000000003,0.7093175803843115,0.7144725637025227,0.7177855907212192,0.6277308536618463,0.7913060591172022,0.56
3.9000000000000004,0.7108534249956824,0.7165200150680391,0.7197842976113172,0.606117924423883,0.8135049637971461,0.56
4.0,0.7158552945218791,0.7220700560275107,0.7252851531579465,0.5929105267235856,0.8398546611037949,0.56
4.1000000000000005,0.7188775988408246,0.7256738772179558,0.7288395852772099,0.5776990110301586,0.8398650024381935,0.56
4.2,0.720109411551945,0.7275149437811833,0.7306312504560111,0.565555304532579,0.843025646833638,0.56
4.3,0.7168988293809614,0.7249350887118408,0.7280021355266276,0.5531577844662584,0.8457071271240486,0.56
4.4,0.7168869203622081,0.7255653230484429,0.7285833747458206,0.5466988383426888,0.8538557005242907,0.56
4.5,0.7154223131353046,0.7247506226064293,0.727720042158263,0.5427173525270287,0.8638167112415593,0.56
4.6000000000000005,0.7140346450661698,0.724015314179362,0.7269365423999271,0.5416194907423212,0.8758474476326256,0.56
4.7,0.7141863213678971,0.7248179592885035,0.7276914982093111,0.5447976573502652,0.8912292375817932,0.56
4.800000000000001,0.7114583943694149,0.7227382638621321,0.7255646631812628,0.548028374529225,0.9056593785730968,0.56
4.9,0.7103363485650073,0.7222570147991805,0.7250368608433861,0.5545109805243698,0.9222846932669742,0.56
5.0,0.706740185787201,0.7192928682537328,0.7220267749940945,0.5607847463875641,0.9376142059421457,0.56
5.1000000000000005,0.7042179838100223,0.7173896007713156,0.7200782025170497,0.5692614156518874,0.928004367445228,0.56
5.2,0.7024871993496209,0.7162629817432244,0.7189069272067514,0.5801032240652784,0.9240596182564518,0.56
5.300000000000001,0.6941196185103419,0.7084841607460408,0.7110841082284418,0.5858153815764747,0.9177114414347464,0.56
5.4,0.6911906016288321,0.706120167162446,0.7086767806542253,0.5962426280361318,0.9183144974585964,0.56
5.5,0.6872157779972726,0.7026875181193032,0.70520146414881,0.6072113867010447,0.9212777116016215,0.56
5.6000000000000005,0.6831539590987671,0.6991434908224228,0.7016154359148872,0.6068617903549607,0.9260915654673566,0.56
5.7,0.6805281732734578,0.6970101908412438,0.699440799476404,0.6095613965160288,0.9339624439087473,0.56
5.800000000000001,0.683069322423845,0.7000195024782866,0.7024094354550345,0.6075785523146103,0.9486962269092958,0.56
5.9,0.676777067020612,0.6941777584854489,0.6965276716186423,0.6009470456864819,0.9573332561587237,0.56
6.0,0.6778859710469313,0.6957137547755265,0.6980242978637858,0.5906564546252424,0.9725510229050819,0.56
6.1000000000000005,0.6693744136820592,0.6876115978757817,0.6898834138902641,0.5756086418767801,0.9543493636505598,0.56
6.2,0.6674303136321096,0.6860511048427534,0.6882848292960292,0.5678983012519144,0.9453659052398337,0.56
6.300000000000001,0.6661435734233869,0.6851252905318587,0.6873215509934878,0.5527836205824734,0.9420856458264233,0.56
6.4,0.66584200914558,0.6851639216182109,0.6873233373497176,0.5425718100309136,0.9435552718734879,0.56
6.5,0.6653722480445197,0.6850165002482613,0.6871396819351978,0.5359835932143062,0.9482493939774221,0.56
6.6000000000000005,0.6647805743751295,0.6847312982448498,0.6868188478077205,0.5325760673461345,0.9555315618923994,0.56
6.7,0.6604191123390634,0.6806619983615761,0.6827145088307278,0.5400958166367925,0.9612945019804752,0.56
6.800000000000001,0.6566663324011053,0.6771839679120721,0.6792020233543822,0.5486809449752353,0.9684261872643136,0.56
6.9,0.6571926163379354,0.6779665009495562,0.67995067643698,0.5624927063097138,0.9809228439646184,0.56
7.0,0.6534970754695353,0.6745127027724755,0.6764635643843362,0.5740831535197025,0.9912037791228567,0.56
7.1000000000000005,0.6474338744063356,0.6686743504511471,0.6705924553035393,0.5833753092943217,0.9730432714743573,0.56
7.2,0.6430258873000396,0.6644705011729894,0.6663563974698872,0.5940855995858754,0.9605146839552694,0.56
7.300000000000001,0.6396658463717172,0.6612931039671912,0.6631473310688442,0.606286962565155,0.9530393691086739,0.56
7.4,0.640813796758049,0.6626025434729456,0.6644256319779622,0.6117414781991506,0.9535231212485407,0.56
7.5,0.6397339798059554,0.6616685438233643,0.6634610156615439,0.6059842309486357,0.9558623696846841,0.56
7.6000000000000005,0.6404280391296617,0.6624938468103675,0.6642562153438889,0.6044694238393202,0.9623218093699807,0.56
7.7,0.6370289827491259,0.6592149529632993,0.6609477230943144,0.590171945797688,0.9673922914843225,0.56
7.800000000000001,0.6362683123554125,0.6585610406463598,0.660264708929407,0.5810059109220871,0.975978632858708,0.56
7.9,0.6364135386037884,0.6588016344379028,0.66047668919585,0.5660219988606888,0.9873124454006531,0.56
8.0,0.6332575723818954,0.6557318000074317,0.657378721449899,0.5518902845426501,0.9968419608661154,0.56
8.1,0.6331514080160121,0.6557003549676889,0.6573196153111043,0.5435260701999859,0.9835284722439815,0.56
8.200000000000001,0.6290134870197706,0.6516281693005173,0.6532202328891149,0.5348546065318269,0.9718362575745637,0.56
8.3,0.6268492979142027,0.6495173885485933,0.6510827119757988,0.530011551750812,0.9654195976951327,0.56
8.4,0.6245705700532765,0.6472801781379887,0.6488192103677445,0.5394370178297865,0.9626114880405152,0.56
8.5,0.6200718462155266,0.6428108844411633,0.6443240669288326,0.547639510840912,0.9604474854464153,0.56
8.6,0.6216094176278372,0.6443631643255671,0.6458509311381292,0.5620854666388264,0.9660329829717402,0.56
8.700000000000001,0.6189379202688718,0.6416970129169037,0.6431597908522118,0.5744730737726036,0.9707610093031365,0.56
8.8,0.6185281714306843,0.6412815749106986,0.6427197836156171,0.5891417672620913,0.9787141103002266,0.56
8.9,0.6190763414568865,0.6418152324656079,0.6432292845528889,0.6058673880713069,0.9894528685967927,0.56
9.0,0.6190101682445194,0.6417281366378487,0.6431184378016346,0.6229738360858195,1.0011217687750442,0.56
9.1,0.5994110267857906,0.6221028140563972,0.6234697631862672,0.6094318486809701,0.9682043853606429,0.56
9.200000000000001,0.5840190364187879,0.6066575802396714,0.6080015695331662,0.5960164675260557,0.9389313803708417,0.56
9.3,0.5705008172533745,0.5930498494432471,0.5943712645168266,0.5722458647638572,0.9139225178137387,0.56
9.4,0.5607775901760021,0.5831945479920114,0.5844937679904124,0.5528369403666376,0.8945177014410547,0.56
9.5,0.5479650262452193,0.5702067152421674,0.57148411294614,0.5316148021935817,0.8741875966113015,0.56
9.600000000000001,0.5391655107512934,0.5638763891260555,0.5624400612257433,0.5141082437537677,0.8581667035907771,0.56
9.700000000000001,0.5323411797641533,0.5609510055656058,0.5553254930340639,0.49969063188306273,0.8455857881337443,0.56
9.8,0.5279225130470775,0.5614114356880547,0.5497914242206282,0.500426279620547,0.8366059534315002,0.56
9.9,0.5285548182048881,0.5674998633878641,0.5487183182910512,0.5181171712818713,0.8340249402423248,0.56
10.0,0.5246855216692613,0.5693907546025245,0.5437817885089808,0.531484625797866,0.8292114745520296,0.56
10.100000000000001,0.5239584818102243,0.5744992978905017,0.5432628821514901,0.5544293270665633,0.8015417648058801,0.56
10.200000000000001,0.5282276683039113,0.584529050567177,0.5474342542036292,0.5812871746052034,0.7845849874345671,0.56
10.3,0.5261365609205431,0.5866800472911854,0.5451984546550432,0.6018686726561694,0.7673002621407287,0.56
10.4,0.52869893715027,0.5924583350504942,0.5475475142089947,0.624727737821138,0.7574940141072479,0.56
10.5,0.5252749216672338,0.5913883461229513,0.5438632468322583,0.6297536153573758,0.7461042770132409,0.56
10.600000000000001,0.5256668914993304,0.5934343108041509,0.5439529265801183,0.625599227106372,0.7400520201243652,0.56
10.700000000000001,0.5234512595509522,0.592305396365978,0.5414033444902523,0.6088499906169428,0.7343469429050437,0.56
10.8,0.5240419981805439,0.593520892612977,0.5416329402076407,0.5964200077666473,0.7327645422980522,0.56
10.9,0.5278781019356285,0.5976096026111256,0.5450882455417794,0.5780152738130258,0.7365674333223284,0.56
11.0,0.5229212366167882,0.5926097734118869,0.5397402809718704,0.5548971592116807,0.7340396516754103,0.56
11.100000000000001,0.5267644631411978,0.5961661606061941,0.5431788947494227,0.5413790613531427,0.7134476566089661,0.56
11.200000000000001,0.5282809808990508,0.5972061306102617,0.5442866132486187,0.5298181205327558,0.6976013684384195,0.56
11.3,0.5273824668249852,0.5956810286744932,0.5429781714735642,0.5181188957375015,0.6838439652485235,0.56
11.4,0.5245651983423563,0.5921172983120022,0.539750129810821,0.5178433253061524,0.6715560988072964,0.56
11.5,0.5273250249305802,0.5940334747660975,0.542096639124924,0.5231691786969384,0.6673738682673145,0.56
11.600000000000001,0.5271610204435103,0.5929539730223599,0.5415222245612987,0.539117109529262,0.6641883138646136,0.56
11.700000000000001,0.529816300154045,0.5946380834926495,0.5437699602894537,0.5569211738137233,0.6657304917823037,0.56
11.8,0.5310547337417698,0.5948667905092943,0.5446076168788125,0.5735544970721287,0.6685765451270475,0.56
11.9,0.5370564736025425,0.5998318885543864,0.5502162288916901,0.594429927171325,0.6777937483152805,0.56
12.0,0.5357382306656766,0.5974654292971666,0.5502542610902117,0.6090617131580245,0.6825957721168948,0.56
12.100000000000001,0.5333336953404268,0.5940040419978919,0.5479380128410775,0.6092055076807319,0.6601385077189755,0.56
12.200000000000001,0.535328924857598,0.5949362738817213,0.5489434766310416,0.6138046797812543,0.6467163584062808,0.56
12.3,0.536599218070443,0.5951445791956405,0.550250157629279,0.6074081402187028,0.6378827351414743,0.56
12.4,0.5411965157019007,0.5986850506208056,0.5549106837170443,0.6060971823524959,0.6362518515607356,0.56
12.5,0.5428888188693495,0.5993331374263754,0.5577716842774023,0.5928612373495985,0.6360801027083305,0.56
12.600000000000001,0.5431868842501959,0.5986015431138576,0.5590584316336328,0.5806451749589149,0.6370796152212488,0.56
12.700000000000001,0.5469792890164614,0.6013793157846358,0.5636017190769878,0.5623578789293102,0.6436355693889195,0.56
12.8,0.5416166426201807,0.595021640255688,0.5599672299404443,0.5392242072827496,0.6439271738661928,0.56
12.9,0.5402617753006108,0.5926836304847611,0.5581570314954555,0.5209728559351051,0.6476217866974726,0.56
13.0,0.5379736978045886,0.5894244001139948,0.5555746442444293,0.504752851362211,0.6518335099553231,0.56
13.100000000000001,0.5380215949375124,0.5885111641123602,0.5547284999205468,0.5045407488187768,0.6400930618700464,0.56
13.200000000000001,0.5349275955355208,0.5844674650735098,0.5509629935090941,0.514304579029484,0.6294182599531749,0.56
13.3,0.5390483750435271,0.5876469612643965,0.5534166442954862,0.5302027013380445,0.6283388299290862,0.56
13.4,0.5389261683770351,0.5865984812488625,0.5531785081892122,0.5536777423712157,0.6274144584483669,0.56
13.5,0.5356809333940186,0.5824409532459522,0.5492062353256768,0.5722621413511182,0.6251430091499537,0.56
13.600000000000001,0.5350088409483632,0.5808669371886764,0.5467933741356215,0.5913058501373477,0.6264191813249035,0.56
13.700000000000001,0.5382906308777161,0.5832576496574647,0.5485160294362298,0.6134080650724053,0.6334430133851175,0.56
13.8,0.5420488502077522,0.5861401189163764,0.5519540125948326,0.6243012423067751,0.6433020335354926,0.56
13.9,0.5484680271915845,0.5917023842271538,0.5587001363076256,0.627019274775964,0.6575674740800088,0.56
14.0,0.5559410198664674,0.5983431890082633,0.567868642407503,0.621792435307206,0.6751306406105855,0.56
14.100000000000001,0.5541347831072413,0.5957349219107965,0.563782638371993,0.5992866313886996,0.6593884121942976,0.56
14.200000000000001,0.5496355121003497,0.5904570785405839,0.555960407963235,0.5758377986848143,0.6442891722779499,0.56
14.3,0.5430818482465318,0.5831412893825487,0.5450921477511017,0.5404627496668539,0.6300954312857431,0.56
14.4,0.5455174128069468,0.5848233116774051,0.5480734742075986,0.5165569838440236,0.6269582302510465,0.56
14.5,0.5431802373135525,0.5817456687399803,0.547879815485944,0.4929926693487955,0.6235173008775207,0.56
14.600000000000001,0.5431975421197788,0.5810319863853062,0.5469796417440391,0.4857719251494188,0.6238879382012944,0.56
14.700000000000001,0.5424238242985008,0.5795376426769917,0.5458196164383602,0.4916146171142555,0.6258071599086215,0.56
14.8,0.5434124835955259,0.579815234577596,0.5464139639570437,0.5112226955516135,0.6309447514989841,0.56
14.9,0.5476710330129703,0.5833738787778634,0.5503376450027588,0.533794451125902,0.6411223803916252,0.56
15.0,0.54792238997642,0.5829412431273711,0.5515694242374081,0.5582321342485023,0.6495466982552305,0.56
15.100000000000001,0.5576958926053739,0.5920452358432056,0.5617940786764434,0.590530927287892,0.6418630902041551,0.56
15.200000000000001,0.5615419320027832,0.5952469570770824,0.5648288900194677,0.6186234328554571,0.6361866318625671,0.56
15.3,0.5632946320883129,0.5963803899035447,0.5660631963598189,0.6317238250638109,0.632621785859313,0.56
15.4,0.5684488470834356,0.6009390110636615,0.570802429976502,0.6366307374979527,0.636097557635087,0.56
15.5,0.5733066150999282,0.6052278332899196,0.5766081045170388,0.6320322064103766,0.6436068272070887,0.56
15.600000000000001,0.5825121039501813,0.6138923817009745,0.5851891392689765,0.6230875644030994,0.6587717874315981,0.56
15.700000000000001,0.5841251253281212,0.6149987007383393,0.5865187932394514,0.6001324463033675,0.6705341481411818,0.56
15.8,0.5887094093423587,0.6191057771446206,0.5908631908106834,0.5835021376207523,0.686260220757472,0.56
15.9,0.5873369272507476,0.6172865619820689,0.5893255913178681,0.555021825169164,0.6985155955876365,0.56
16.0,0.5847846546361564,0.6143110415618862,0.5866615073843643,0.5287998039725627,0.709649616126614,0.56
16.1,0.583486504344768,0.6126071768341179,0.5852928103523226,0.5072960496564873,0.6962059146405883,0.56
16.2,0.5829425017418487,0.611671661494087,0.5847104057970367,0.5019065826900071,0.6884501420281249,0.56
16.3,0.5908859418563742,0.6192357325034888,0.592640942798127,0.5189696220639884,0.693428798055825,0.56
