algo_name,E1,E2
pid,8.44221187913861,4.13051471096374
pid_deadzone,7.867315349936333,3.72416612243841
event_pid,8.266457864942566,3.950685178163006
lif_snn,8.764177257627008,5.5663374092036655
trinc,6.095900454128401,2.288069916097406
