algo_name,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
pid,0.14988677436958242,1.4000000000000001,-0.023623282067298593,8.44221187913861,4.13051471096374,68,68
pid_deadzone,0.15551998039747683,1.4000000000000001,-0.04860259307699955,7.867315349936333,3.72416612243841,69,69
event_pid,0.15879154152401165,1.4000000000000001,-0.029309865849265416,8.266457864942566,3.950685178163006,64,64
lif_snn,0.0828271569259541,1.4000000000000001,-0.0068149860101196745,8.764177257627008,5.5663374092036655,130,130
trinc,0.3478263028992574,1.4000000000000001,-0.1793361372027855,6.095900454128401,2.288069916097406,34,178
