time,pid,pid_deadzone,event_pid,lif_snn,trinc
0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0,0.0
2.3000000000000003,0.009282411800986039,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
3.6,0.020420657737940665,0.012288211129454012,0.0,0.0,0.0
3.7,0.021704085686581068,0.01643850127202108,0.0,0.0,0.0
3.8000000000000003,0.018922109223776903,0.01446390779335558,0.0,0.0,0.0
3.9000000000000004,0.017186812417589778,0.013541642218299423,0.0,0.0,0.0
4.0,0.032052318401971265,0.02875465003173942,0.0,0.0,0.0
4.1000000000000005,0.02790071300096546,0.02484880770194956,0.0,0.0,0.0
4.2,0.017471435800989574,0.014728846918620773,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.0,0.0,0.0,0.0
4.7,0.0,0.0,0.0,0.0,0.0
4.800000000000001,0.0,0.0,0.0,0.0,0.0
4.9,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
5.1000000000000005,0.007367091381837932,0.005953229403426105,0.0,0.0,0.0
5.2,0.029721048983081623,0.02837940225185974,0.0,0.0,0.0
5.300000000000001,0.011588614103958022,0.010192273308865664,0.0,0.0,0.0
5.4,0.02944635295765377,0.027759192823368393,0.0,0.0,0.0
5.5,0.02538978076078947,0.023448781589382843,0.0011331242909267333,0.2,0.0
5.6000000000000005,0.01713904000311195,0.015092912124493495,0.0,0.19,0.0
5.7,0.011244229459248061,0.009223087817485409,0.0,0.1805,0.0
5.800000000000001,0.025193845398367228,0.0230020729466683,0.0051073681272137475,0.171475,0.0
5.9,0.0,0.0,0.00505629444594161,0.16290124999999997,0.0
6.0,0.0,0.0,0.00505629444594161,0.0,0.0
6.1000000000000005,0.10729502073409833,0.10449977820304325,0.0825931646968243,0.0,0.0
6.2,0.1626232868791586,0.15978562611099917,0.14430224441475853,0.0,0.32
6.300000000000001,0.21722728779918724,0.2136517527172001,0.1992971277636574,0.0,0.2816
6.4,0.2705216437779568,0.2660810734235303,0.2532720957088014,0.2,0.24780800000000003
6.5,0.3191502703378029,0.313699162711869,0.30208525626417637,0.39,0.21807104000000002
6.6000000000000005,0.365062766191395,0.3585076811037643,0.34790255479866095,0.5705,0.1919025152
6.7,0.38871889724445746,0.3810749624011554,0.37131134677833744,0.741975,0.168874213376
6.800000000000001,0.4180107908656895,0.4092936855066081,0.4002366556906908,0.90487625,0.14860930777088
6.9,0.46151836182045447,0.451691405766629,0.4432300394792135,1.0,0.13077619083837438
7.0,0.4680148033674704,0.4571810655011313,0.44922442413269786,0.95,0.11508304793776945
7.1000000000000005,0.46311927600039493,0.45144022424592056,0.4439136593689671,1.0,0.10127308218523712
7.2,0.4636437125410507,0.45125889129438723,0.4441010844952102,0.95,0.5341203123230087
7.300000000000001,0.45963099289517206,0.44667973704316327,0.4398402712089439,0.9025,0.4700258748442477
7.4,0.4716658371752674,0.45820681081414244,0.45164418580254306,0.6573749999999998,0.41362276986293794
7.5,0.46113699188229823,0.4472947367712671,0.4409747469274594,0.4245062499999998,0.3639880374793854
7.6000000000000005,0.4639987160453588,0.4498399381773316,0.4437343458779185,0.20328093749999981,0.32030947298185913
7.7,0.4447624485721732,0.43042479586924753,0.4245102470431108,0.19311689062499982,0.281872336224036
7.800000000000001,0.4507480131077036,0.43626530180515677,0.4305224392796437,0.0,0.2480476558771517
7.9,0.4609206387753285,0.4462890671712753,0.44070180574405493,0.0,0.21828193717189348
8.0,0.45762822158829586,0.44288532762530747,0.4374402613506227,0.0,0.19208810471126628
8.1,0.4806178998980058,0.4657002628049435,0.4603861803682485,0.2,0.16903753214591433
8.200000000000001,0.4800566988571072,0.464983319739271,0.4597908081968853,0.39,0.5937530282884046
8.3,0.49838121197148855,0.48310669705060827,0.47802781781024645,0.5705,0.522502664893796
8.4,0.5110063374925653,0.49550461300437953,0.4905326368648053,0.741975,0.4598023451065405
8.5,0.5093985968758689,0.4937039867017011,0.48883317717522856,0.90487625,0.40462606369375564
8.6,0.5379575638216553,0.5219950607399666,0.5172204968480251,1.0,0.356070936050505
8.700000000000001,0.5277054196763564,0.5115430696316554,0.5068605009712804,0.95,0.3133424237244444
8.8,0.531581375338345,0.51524744448212,0.5106531726754928,0.9025,0.27574133287751107
8.9,0.5309462428964093,0.5144826246962987,0.5099734064099033,0.8573749999999999,0.24265237293220973
9.0,0.521962898818867,0.5054405263466806,0.5010134939450036,0.8145062499999999,0.21353408818034456
9.1,0.515185519498822,0.49866501576848243,0.49431761238526106,0.7737809374999999,0.18790999759870322
9.200000000000001,0.49449492192488376,0.4780840863556658,0.47381401275272905,0.5350918906249997,0.6103607978868588
9.3,0.4798096869046879,0.4635891102263794,0.45939428129003557,0.30833729609374966,0.5371175021404357
9.4,0.4774237971249651,0.4614130908086731,0.4572915999259387,0.29292043128906214,0.47266340188358347
9.5,0.4522689007321468,0.43656166417805153,0.43251175405574943,0.07827440972460903,0.41594379365755346
9.600000000000001,0.4545725213938146,0.43915533030478154,0.4351753690567496,0.07436068923837857,0.366030538418647
9.700000000000001,0.46002336467023,0.4448542782454986,0.44094273978751364,0.07064265477645965,0.32210687380840936
9.8,0.47409450395583463,0.459092041880982,0.4552474898482387,0.06711052203763666,0.28345404895140025
9.9,0.5080213582023867,0.4930265693960057,0.48924764394126447,0.26375499593575485,0.24943956307723222
10.0,0.5065767200598092,0.49157170332033295,0.48785711026795864,0.4505672461389671,0.21950681550796436
10.100000000000001,0.5255864645140536,0.5104999188158766,0.506848420742753,0.6280388838320188,0.19316599764700865
10.200000000000001,0.5580666946793145,0.5427790710879479,0.5391894799805161,0.7966369396404178,0.6149860779293677
10.3,0.5422891504606918,0.5268730983940413,0.523344269594706,0.9568050926583969,0.5411877485778436
10.4,0.5564637014502996,0.5409018741388596,0.5374327013473252,0.908964838025477,0.47624521874850234
10.5,0.5257465095400691,0.5101916253166994,0.5067810364545569,1.0,0.41909579249868206
10.600000000000001,0.522296507005787,0.5068057155201617,0.5034526693020245,0.95,0.36880429739884024
10.700000000000001,0.4962271232780746,0.4809287933547256,0.47763227643777845,0.9025,0.3245477817109794
10.8,0.48991292608975345,0.4748521195930561,0.47161114420026784,0.6573749999999998,0.2856020479056619
10.9,0.49707582855168286,0.48222587577218645,0.47903947770352623,0.4245062499999998,0.2513298021569825
11.0,0.4575926830020095,0.44309538296413564,0.4399626199257536,0.20328093749999981,0.22117022589814458
11.100000000000001,0.34293235044690756,0.32923913613167055,0.3261590863257807,0.0,0.19462979879036724
11.200000000000001,0.30745140831801293,0.2648821080670028,0.29169028080489917,0.0,0.49127422293552314
11.3,0.2644412100656714,0.20568273738604673,0.24981381798971086,0.0,0.43232131618326036
11.4,0.22881833473888707,0.15845346690403794,0.21538146786006362,0.0,0.3804427582412691
11.5,0.2320554802284452,0.15379255811353368,0.21969136325063665,0.0,0.3347896272523168
11.600000000000001,0.21355153324110498,0.13032155867508763,0.2022036880325312,0.0,0.2946148719820388
11.700000000000001,0.21631324147131187,0.13007212182252653,0.20585211611471815,0.0,0.2592610873441941
11.8,0.20526473742939516,0.11764002225871811,0.19561877788087662,0.0,0.22814975686289082
11.9,0.21865940138801337,0.13051983637446427,0.2096774047803892,0.0,0.20077178603934392
12.0,0.18255648390676438,0.09521997551214903,0.17428674905598746,0.0,0.17667917171462266
12.100000000000001,0.15254424822719775,0.06708149604844146,0.14504144433953264,0.0,0.15547767110886795
12.200000000000001,0.14507018920113823,0.06200043193936562,0.13830425484440462,0.0,0.1368203505758038
