algo_name,overshoot,settling_time,steady_state_error,E1,E2,N_events,N_du
pid,0.1689540062930588,0.1,-0.007019123525464517,7.39252510186139,3.7318825868551,59,59
pid_deadzone,0.17408036254736214,0.1,-0.04446095711712824,6.610148964037944,3.1886097747604754,51,51
event_pid,0.17427250188428633,0.1,-0.0447577089213658,6.6242627948384385,3.190868199273353,51,51
lif_snn,0.13400144601941333,0.1,-0.0070519949267323035,7.883123546548191,5.378330053388186,114,114
trinc,0.4887364755257819,0.1,-0.16393186120161093,4.614838242071676,1.6942740215465273,41,147
