time,temperature,T_ref,control,error,gP,gH,gS
0.0,0.5,0.55,0.0,-0.050000000000000044,-1.0,0.0,-1.0
0.1,0.5016626286560016,0.55,0.0,-0.0483373713439984,0.0,0.0,0.0
0.2,0.49909854814095267,0.55,0.0,-0.050901451859047375,0.0,0.0,0.0
0.30000000000000004,0.5016835765966948,0.55,0.0,-0.04831642340330522,0.0,0.0,0.0
0.4,0.5041642743979047,0.55,0.0,-0.04583572560209537,0.0,0.0,0.0
0.5,0.49710863549538925,0.55,0.0,-0.052891364504610794,0.0,0.0,0.0
0.6000000000000001,0.49141845304380904,0.55,0.0,-0.058581546956191,0.0,0.0,0.0
0.7000000000000001,0.4892456203299422,0.55,0.0,-0.06075437967005787,0.0,0.0,0.0
0.8,0.4847160233052812,0.55,0.0,-0.06528397669471886,0.0,0.0,0.0
0.9,0.48012484870806527,0.55,0.0,-0.06987515129193478,0.0,0.0,0.0
1.0,0.4732384494003032,0.55,0.0,-0.07676155059969686,-1.0,0.0,0.0
1.1,0.47186961433789393,0.55,0.0,-0.07813038566210612,0.0,0.0,0.0
1.2000000000000002,0.47025961615591577,0.55,0.0,-0.07974038384408427,0.0,0.0,0.0
1.3,0.46658920407850896,0.55,0.0,-0.08341079592149109,0.0,0.0,0.0
1.4000000000000001,0.46627310886793805,0.55,0.0,-0.083726891132062,0.0,0.0,0.0
1.5,0.46399251745307324,0.55,0.0,-0.0860074825469268,0.0,0.0,0.0
1.6,0.4578375750683744,0.55,0.0,-0.09216242493162563,0.0,0.0,0.0
1.7000000000000002,0.4556529859882858,0.55,0.0,-0.09434701401171425,0.0,0.0,0.0
1.8,0.4495870867981243,0.55,0.0,-0.10041291320187573,0.0,0.0,0.0
1.9000000000000001,0.44931526909838737,0.55,0.0,-0.10068473090161267,0.0,0.0,0.0
2.0,0.4462709631125378,0.55,0.0,-0.10372903688746227,-1.0,-1.0,0.0
2.1,0.4429634172677718,0.55,0.0,-0.10703658273222827,0.0,0.0,0.0
2.2,0.4383214808342393,0.55,0.0,-0.11167851916576077,0.0,0.0,0.0
2.3000000000000003,0.43960582122956937,0.55,0.0,-0.11039417877043067,0.0,0.0,0.0
2.4000000000000004,0.43669922342325773,0.55,0.0,-0.11330077657674231,0.0,0.0,0.0
2.5,0.433106396245731,0.55,0.0,-0.11689360375426905,0.0,0.0,0.0
2.6,0.46307977121983773,0.55,0.0,-0.08692022878016231,0.0,0.0,0.0
